"TLA NAME","CRASH ROAD","CRASH DIST","CRASH DIRN","INTSN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT","VEHICLES","CAUSES","OBJECTS STRUCK","ROAD CURVE","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","ROAD MARK","SPD LIM","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","PERS AGE1","PERS AGE2","EASTING","NORTHING"
"Auckland","ACCESS ROAD",""," ","I","WAITAKERE ROAD","201432764","05/03/2014","Wed","1330","JA","VS1C","145A 301B 387B 901 ","","R","W","O ","H ","T","S","C","050","0","0","0","","","1738901","5928687",
"Auckland","ADDINGTON AVENUE","190","E"," ","ROMNEY PLACE","201437299","11/06/2014","Wed","1820","EA","CE1T","103A 129A ","M","M","D","DO","F "," ","N","C","050","0","0","0","","","1766729","5901398",
"Auckland","ADDINGTON AVENUE","50","E"," ","ROWANDALE AVENUE","201410016","16/02/2014","Sun","1345","PO","CW1E","357A 514A 720B ","","R","D","B ","F "," "," ","N","050","0","1","0","32","","1766521","5901327",
"Auckland","AHUROA ROAD","500","E"," ","TUNNEL ROAD","201431229","02/03/2014","Sun","0100","DB","CW1","131A 402A ","F","M","D","DN","F "," ","N","C","080","0","0","0","","","1746462","5958940",
"Auckland","AIRFIELD ROAD",""," ","I","PORCHESTER ROAD","201411076","01/01/2014","Wed","0615","KA","SW1C","302B 375B ","","R","D","B ","F ","R","G","R","050","0","0","1","","72","1771716","5899043",
"Auckland","AIRPARK DRIVE","50","W"," ","LANDING DRIVE","201410040","03/02/2014","Mon","1415","JA","CE1C","308B 378B 835 929 ","","E","D","B ","F ","D"," ","C","050","0","0","2","","","1758716","5904717",
"Auckland","AKORANGA DRIVE","200","S"," ","NORTHCOTE ROAD","201412291","09/05/2014","Fri","1638","LB","CN1C","303B 375B 927 ","","R","W","O ","F ","D","N","C","050","0","1","0","","","1756104","5926640",
"Auckland","ALBANY EXPRESSWAY",""," ","I","ALBANY HIGHWAY","201437112","30/05/2014","Fri","2325","LB","4N1C","323B 334B ","","R","D","DO","F ","X","T","C","050","0","0","0","","","1751629","5934054",
"Auckland","ALBANY EXPRESSWAY",""," ","I","BUSH ROAD","201410352","11/01/2014","Sat","2323","LB","4W1C","323B ","","R","D","DO","F ","X","T","R","080","0","0","1","","","1752494","5933313",
"Auckland","ALBANY EXPRESSWAY",""," ","I","GREVILLE ROAD","201434638","22/04/2014","Tue","1216","AA","TS1C","372A ","","S","D","BF","F ","R","G","C","050","0","0","0","","","1753273","5933085",
"Auckland","ALBANY EXPRESSWAY",""," ","I","GREVILLE ROAD","201433551","12/04/2014","Sat","","GF","CS1C","381A ","","M","D","BF","F ","R","G","R","050","0","0","0","","","1753262","5933079",
"Auckland","ALBANY EXPRESSWAY",""," ","I","MERCARI WAY","201436741","23/05/2014","Fri","1535","HA","CS2C","322A 334A ","","R","D","B ","F ","X","T","R","080","0","0","0","","","1752502","5933324",
"Auckland","ALBANY EXPRESSWAY",""," ","I","TAWA DRIVE","201432392","11/03/2014","Tue","1328","GB","CE14","173A ","","M","D","B ","F ","R","G","C","080","0","0","0","","","1753262","5933079",
"Auckland","ALBANY HIGHWAY","15","S"," ","ASHBY PLACE","201432042","04/02/2014","Tue","2024","AC","CN14","198A 330A ","","R","D","DO","F "," "," ","R","050","0","0","0","","","1752172","5930589",
"Auckland","ALBANY HIGHWAY","100","S"," ","LIBRARY LANE","201433713","02/04/2014","Wed","0955","FA","CS14","181A ","","R","D","B ","F "," "," ","P","050","0","0","0","","","1751543","5933855",
"Auckland","ALBANY HIGHWAY","20","N"," ","ROSEDALE ROAD","201436736","26/05/2014","Mon","2215","FD","4S14C","331A 355A ","","R","D","DO","F ","R","S","C","050","0","0","0","","","1751131","5932339",
"Auckland","ALBANY HIGHWAY","5","S"," ","ROSEDALE ROAD","201434205","18/03/2014","Tue","0947","FB","CN1C","181A 387A 191B ","","R","D","B ","F ","R","S","C","050","0","0","0","","","1751135","5932289",
"Auckland","ALBANY HIGHWAY",""," ","I","ROTHWELL AVENUE","201434209","12/03/2014","Wed","1300","JA","CS1C","302B ","","R","D","O ","F ","T","G","R","050","0","0","0","","","1751584","5931091",
"Auckland","ALBANY HIGHWAY","200","S"," ","SCHNAPPER ROCK ROAD E","201431898","20/02/2014","Thu","1600","MC","4S1C","372B ","","R","D","OF","F "," ","N","C","050","0","0","0","","","1752072","5930674",
"Auckland","ALBANY HIGHWAY","30","N"," ","SUNSET ROAD","201437408","29/05/2014","Thu","1546","FD","CS1C","331A ","","R","W","O ","F "," "," ","C","050","0","0","0","","","1753365","5929825",
"Auckland","ALBANY HIGHWAY","30","N"," ","SUNSET ROAD","201437517","21/05/2014","Wed","1715","FD","CS1C","181A ","","R","W","TF","L "," "," ","C","050","0","0","0","","","1753365","5929825",
"Auckland","ALBANY HIGHWAY","50","W"," ","UNSWORTH DRIVE","201432679","31/03/2014","Mon","1011","MC","CW1C","330B 372B ","","M","D","B ","F "," ","N","C","070","0","0","0","","","1753121","5930051",
"Auckland","ALBANY HIGHWAY",""," ","I","UNSWORTH DRIVE","201411793","08/04/2014","Tue","0836","JA","CE1C","302B ","","E","D","B ","F ","T","G","R","070","0","0","1","","","1753169","5930037",
"Auckland","ALBANY HIGHWAY","40","N"," ","WHARF ROAD","201430942","27/02/2014","Thu","0900","FD","CS1CC","181A ","","R","D","BF","F "," ","N","C","050","0","0","0","","","1751085","5933349",
"Auckland","ALBANY HIGHWAY ON EBD",""," ","I","ALBANY HIGHWAY","201430004","01/01/2014","Wed","1134","DB","CE2","131A 402A 403A ","","R","W","OF","L ","T","G","C","050","0","0","0","","","1752032","5930706",
"Auckland","ALBERT ST","20","S"," ","CUSTOMS ST WEST","201436374","28/03/2014","Fri","1547","MG","CS1C","371B ","","R","D","BF","F "," ","N","C","050","0","0","0","","","1757393","5920924",
"Auckland","ALBERT ST",""," ","I","CUSTOMS ST WEST","201410326","25/01/2014","Sat","2230","FE","VN1C","331A ","","R","D","DO","F ","X","T","C","050","0","0","1","","","1757400","5920942",
"Auckland","ALBERT ST","50","S"," ","KINGSTON ST","201436427","01/05/2014","Thu","2300","FD","CS1CC","103A 181A ","","R","D","DO","F "," ","N","C","050","0","0","0","","","1757241","5920521",
"Auckland","ALBERT ST",""," ","I","SWANSON ST","201437169","26/05/2014","Mon","1730","AO","CN1B","381A ","","R","D","DF","F ","X","T","C","050","0","0","0","","","1757332","5920761",
"Auckland","ALBERT ST",""," ","I","WOLFE ST","201411877","20/03/2014","Thu","2036","HA","4E2C","302A 375A 112B ","","R","D","DO","F ","X","G","L","050","0","0","1","","","1757368","5920856",
"Auckland","ALBERT ST",""," ","I","WYNDHAM ST","201411632","24/02/2014","Mon","1635","BB","CW2S","129A ","Q","E","D","BF","F ","X","T","C","050","0","0","1","","31","1757292","5920655",
"Auckland","ALDERMAN DRIVE","30","N"," ","EDMONTON ROAD","201412096","23/04/2014","Wed","1555","NA","CN1E","363A 370A 711B 902 ","","E","D","B ","F ","R","G","R","050","0","0","1","53","","1745695","5917422",
"Auckland","ALDERMAN DRIVE",""," ","I","EDMONTON ROAD","201436222","16/05/2014","Fri","1600","LB","CS1C4","302A ","","M","D","B ","F ","R","G","C","050","0","0","0","","","1745717","5917401",
