TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING
Hutt City,PARKWAY,, ,I,MEREMERE ST,201411957,23/03/2014,Sun,2004,LB,ME1C,112A 514A 303B 375B ,,R,D,DO,F ,T,G,C,50,0,1,0,,,1762133,5431570
Hutt City,PARKWAY,20,S, ,MOHAKA ST,201437425,28/05/2014,Wed,2300,DA,CN1,131A ,PT,E,D,DO,F ,R,G,C,50,0,0,0,,,,
Hutt City,PARKWAY,20,E, ,WAINUIOMATA ROAD,201432863,24/03/2014,Mon,640,FD,TW1M,181A 331A ,,R,D,TF,F ,R,G,R,50,0,0,0,,,1761691,5431214
Hutt City,PARKWAY,, ,I,WAINUIOMATA ROAD,201437454,22/05/2014,Thu,1801,FA,4N1V,357A 512A ,,R,D,DO,F ,R,G,R,50,0,0,0,,,,
Hutt City,PETONE AVENUE,15,N, ,JACKSON ST,201434619,02/04/2014,Wed,1258,EA,CN1C,129A ,M,R,D,BF,F , ,N,N,50,0,0,0,,,1757064,5434712
Hutt City,PHARAZYN ST,80,S, ,BLOCK ROAD,201430104,05/01/2014,Sun,1024,EA,CS1C,130A 501A 901 ,M,R,W,O ,H , , ,P,50,0,0,0,,,1759598,5436781
Hutt City,PHARAZYN ST,200,W, ,BLOCK ROAD,201410795,05/03/2014,Wed,1205,LO,SE14,204A 308B 375B 926 ,,R,W,O ,H ,D,N,N,50,0,0,1,,39,1759496,5436719
Hutt City,PHARAZYN ST,, ,I,BLOCK ROAD,201430773,11/02/2014,Tue,1652,JA,CE1C,302B 382B ,,M,D,OF,F ,Y,G,P,50,0,0,0,,,1759667,5436823
Hutt City,PHARAZYN ST,, ,I,BRIDGE ST,201434327,31/03/2014,Mon,1514,JA,VS1C,302B ,,R,D,B ,F ,T,G,P,50,0,0,0,,,1758834,5436120
Hutt City,PHARAZYN ST,, ,I,MARSDEN ST,201430535,20/01/2014,Mon,15,DC,CN2C,423A ,M,R,D,DO,F ,T,G,C,50,0,0,0,,,1759146,5436421
Hutt City,POHUTUKAWA ST,5,S, ,HINAU ST,201431112,19/02/2014,Wed,1649,FC,CN1C,333A 361A ,,R,D,B ,F ,T,N,C,50,0,0,0,,,1760582,5435320
Hutt City,QUEENS DRIVE,100,E, ,LAINGS ROAD,201434937,28/03/2014,Fri,705,EA,CW1C,129A ,M,R,D,DO,F , ,N,C,50,0,0,0,,,1759528,5436131
Hutt City,QUEENS DRIVE,, ,I,QUEENS ARCADE,201438601,16/06/2014,Mon,1400,FC,CW1C,331A ,,R,D,O ,F ,T,N,C,50,0,0,0,,,1759582,5436169
